"dis_id","dis_name","url","create_time","status","cat_id","cat_name","dis_type"
"bijie","鼻疖","http://www.haodf.com/jibing/bijie.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bijing","闭经","http://www.haodf.com/jibing/bijing.htm","2015/11/8 18:49:28","0","zhongyifuchanke","中医妇产科","1"
"binangzhong","鼻囊肿","http://www.haodf.com/jibing/binangzhong.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bingduxingfeiyan","病毒性肺炎","http://www.haodf.com/jibing/bingduxingfeiyan.htm","2015/11/8 18:49:31","0","zhongyihuxike","中医呼吸科","1"
"bingduxingganyan","病毒性肝炎","http://www.haodf.com/jibing/bingduxingganyan.htm","2015/11/8 18:38:57","0","xiaohuaneike","消化内科","1"
"binggan","丙肝","http://www.haodf.com/jibing/binggan.htm","2015/11/8 18:05:10","0","ganbingke","肝病科","0"
"binglizhenduan","病理诊断","http://www.haodf.com/jibing/binglizhenduan.htm","2015/11/8 18:04:55","0","binglike","病理科","2"
"binguguzhe","髌骨骨折","http://www.haodf.com/jibing/binguguzhe.htm","2015/11/8 18:04:58","0","chuangshangguke","创伤骨科","1"
"bingzhijixing","并指畸形","http://www.haodf.com/jibing/bingzhijixing.htm","2015/11/8 18:22:37","0","shouwaike","手外科","1"
"bingzhixichongbing","并殖吸虫病","http://www.haodf.com/jibing/bingzhixichongbing.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"biqiangjibidouyiwu","鼻腔及鼻窦异物","http://www.haodf.com/jibing/biqiangjibidouyiwu.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"biqiantingnangzhong","鼻前庭囊肿","http://www.haodf.com/jibing/biqiantingnangzhong.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"biqiantingyan","鼻前庭炎","http://www.haodf.com/jibing/biqiantingyan.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"birutouzhuangliu","鼻乳头状瘤","http://www.haodf.com/jibing/birutouzhuangliu.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"biwaishang","鼻外伤","http://www.haodf.com/jibing/biwaishang.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bixirou","鼻息肉","http://www.haodf.com/jibing/bixirou.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","1"
"bixueguanliu","鼻血管瘤","http://www.haodf.com/jibing/bixueguanliu.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"biyan","鼻炎","http://www.haodf.com/jibing/biyan.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","0"
"biyanai","鼻咽癌","http://www.haodf.com/jibing/biyanai.htm","2015/11/8 18:54:52","0","zhongyizhongliuke","中医肿瘤科","0"
"biyanxianweixueguanliu","鼻咽纤维血管瘤","http://www.haodf.com/jibing/biyanxianweixueguanliu.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"biyingjiebing","鼻硬结病","http://www.haodf.com/jibing/biyingjiebing.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bizhenjunbing","鼻真菌病","http://www.haodf.com/jibing/bizhenjunbing.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bizhonggechuankong","鼻中隔穿孔","http://www.haodf.com/jibing/bizhonggechuankong.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bizhonggepianqu","鼻中隔偏曲","http://www.haodf.com/jibing/bizhonggepianqu.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","1"
"bizhonggexuezhonghenongzhong","鼻中隔血肿和脓肿","http://www.haodf.com/jibing/bizhonggexuezhonghenongzhong.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"bizhongliu","鼻肿瘤","http://www.haodf.com/jibing/bizhongliu.htm","2015/11/8 18:47:41","0","zhongliuwaike","肿瘤外科","1"
"bolitibing","玻璃体病","http://www.haodf.com/jibing/bolitibing.htm","2015/11/8 18:54:51","0","zhongyiyankezu","中医眼科","1"
"bolitihunzhuo","玻璃体混浊","http://www.haodf.com/jibing/bolitihunzhuo.htm","2015/11/8 18:54:51","0","zhongyiyankezu","中医眼科","1"
"bushiganjunbing","布氏杆菌病","http://www.haodf.com/jibing/bushiganjunbing.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"buya","补牙","http://www.haodf.com/jibing/buya.htm","2015/11/8 18:05:04","0","ertongkouqiangke","儿童口腔科","2"
"buyunbuyu","不孕不育","http://www.haodf.com/jibing/buyunbuyu.htm","2015/11/8 18:49:28","0","zhongyifuchanke","中医妇产科","0"
"buyunzheng","不孕症","http://www.haodf.com/jibing/buyunzheng.htm","2015/11/8 18:05:09","0","fukeneifenmi","妇科内分泌","1"
"changamibabing","肠阿米巴病","http://www.haodf.com/jibing/changamibabing.htm","2015/11/8 18:38:57","0","xiaohuaneike","消化内科","1"
"changdaobingdu71xingganran","肠道病毒71型感染","http://www.haodf.com/jibing/changdaobingdu71xingganran.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"changgengzu","肠梗阻","http://www.haodf.com/jibing/changgengzu.htm","2015/11/8 18:10:26","0","jizhenke","急诊科","0"
"changjiehe","肠结核","http://www.haodf.com/jibing/changjiehe.htm","2015/11/8 18:38:57","0","xiaohuaneike","消化内科","1"
"changjingluan","肠痉挛","http://www.haodf.com/jibing/changjingluan.htm","2015/11/8 18:10:26","0","jizhenke","急诊科","1"
"changnianlian","肠粘连","http://www.haodf.com/jibing/changnianlian.htm","2015/11/8 18:49:30","0","zhongyigangchangke","中医肛肠科","1"
"changtaochongbing","肠绦虫病","http://www.haodf.com/jibing/changtaochongbing.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"changtaodie","肠套叠","http://www.haodf.com/jibing/changtaodie.htm","2015/11/8 18:33:47","0","xiaoerwaike","小儿外科","1"
"changweiyan","肠胃炎","http://www.haodf.com/jibing/changweiyan.htm","2015/11/8 18:53:58","0","zhongyixiaohuake","中医消化科","0"
"changxirou","肠息肉","http://www.haodf.com/jibing/changxirou.htm","2015/11/8 18:49:30","0","zhongyigangchangke","中医肛肠科","1"
"changyan","肠炎","http://www.haodf.com/jibing/changyan.htm","2015/11/8 18:53:58","0","zhongyixiaohuake","中医消化科","0"
"changyijizonghezheng","肠易激综合征","http://www.haodf.com/jibing/changyijizonghezheng.htm","2015/11/8 18:53:58","0","zhongyixiaohuake","中医消化科","0"
"changzhongliu","肠肿瘤","http://www.haodf.com/jibing/changzhongliu.htm","2015/11/8 18:54:52","0","zhongyizhongliuke","中医肿瘤科","1"
"chanhouchuxue","产后出血","http://www.haodf.com/jibing/chanhouchuxue.htm","2015/11/8 18:04:56","0","chanke","产科","1"
"chanhoufengshi","产后风湿","http://www.haodf.com/jibing/chanhoufengshi.htm","2015/11/8 18:49:28","0","zhongyifuchanke","中医妇产科","0"
"chanhouyiyu","产后抑郁","http://www.haodf.com/jibing/chanhouyiyu.htm","2015/11/8 18:49:32","0","zhongyijingshenke","中医精神科","0"
"chanqianjiancha","产前检查","http://www.haodf.com/jibing/chanqianjiancha.htm","2015/11/8 18:49:28","0","zhongyifuchanke","中医妇产科","2"
"chanruganran","产褥感染","http://www.haodf.com/jibing/chanruganran.htm","2015/11/8 18:04:56","0","chanke","产科","1"
"chanrujibing","产褥疾病","http://www.haodf.com/jibing/chanrujibing.htm","2015/11/8 18:49:28","0","zhongyifuchanke","中医妇产科","1"
"chanruzhongshu","产褥中暑","http://www.haodf.com/jibing/chanruzhongshu.htm","2015/11/8 18:04:56","0","chanke","产科","1"
"chaoshengzhenduan","超声诊断","http://www.haodf.com/jibing/chaoshengzhenduan.htm","2015/11/8 18:04:57","0","chaoshengzhenduanke","超声科","2"
"chenfei","尘肺","http://www.haodf.com/jibing/chenfei.htm","2015/11/8 18:47:37","0","zhiyebingke","职业病科","0"
"chenggubuquan","成骨不全","http://www.haodf.com/jibing/chenggubuquan.htm","2015/11/8 18:26:05","0","xiaoerguke","小儿骨科","1"
"chidai","痴呆","http://www.haodf.com/jibing/chidai.htm","2015/11/8 18:49:35","0","zhongyilaonianbingke","中医老年病科","0"
"chongfushenyushuniaoguanjixing","重复肾盂输尿管畸形","http://www.haodf.com/jibing/chongfushenyushuniaoguanjixing.htm","2015/11/8 18:16:32","0","miniaowaike","泌尿外科","1"
"chongmeichuanranbing","虫媒传染病","http://www.haodf.com/jibing/chongmeichuanranbing.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"chouhanzheng","臭汗症","http://www.haodf.com/jibing/chouhanzheng.htm","2015/11/8 18:47:36","0","zhengxingwaike","整形科","1"
"chuandaoxinglong","传导性耳聋","http://www.haodf.com/jibing/chuandaoxinglong.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","1"
"chuangshangxinglong","创伤性聋","http://www.haodf.com/jibing/chuangshangxinglong.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","1"
"chuanranxingdanhexibaozengduozheng","传染性单核细胞增多症","http://www.haodf.com/jibing/chuanranxingdanhexibaozengduozheng.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"chuanranxingruanyou","传染性软疣","http://www.haodf.com/jibing/chuanranxingruanyou.htm","2015/11/8 18:38:58","0","xingbingke","性病科","1"
"chuitiliu","垂体瘤","http://www.haodf.com/jibing/chuitiliu.htm","2015/11/8 18:05:04","0","fangliaoke","放疗科","1"
"chunbuzhengxing","唇部整形","http://www.haodf.com/jibing/chunbuzhengxing.htm","2015/11/8 18:47:36","0","zhengxingwaike","整形科","2"
"chunelie","唇腭裂","http://www.haodf.com/jibing/chunelie.htm","2015/11/8 18:47:36","0","zhengxingwaike","整形科","0"
"chunvmoxiufu","处女膜修补","http://www.haodf.com/jibing/chunvmoxiufu.htm","2015/11/8 18:47:36","0","zhengxingwaike","整形科","2"
"chuxuexingnaozuzhong","出血性脑卒中","http://www.haodf.com/jibing/chuxuexingnaozuzhong.htm","2015/11/8 18:10:26","0","jizhenke","急诊科","0"
"chuzhou","除皱","http://www.haodf.com/jibing/chuzhou.htm","2015/11/8 18:47:36","0","zhengxingwaike","整形科","2"
"cuochuang","痤疮","http://www.haodf.com/jibing/cuochuang.htm","2015/11/8 18:50:30","0","zhongyineifenmi","中医内分泌","0"
"danchunpaozhen","单纯疱疹","http://www.haodf.com/jibing/danchunpaozhen.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"dandaoxiantianxingjixing","胆道先天性畸形","http://www.haodf.com/jibing/dandaoxiantianxingjixing.htm","2015/11/8 18:33:47","0","xiaoerwaike","小儿外科","0"
"dandaozhongliu","胆道肿瘤","http://www.haodf.com/jibing/dandaozhongliu.htm","2015/11/8 18:47:40","0","zhongliuneike","肿瘤内科","1"
"danguanai","胆管癌","http://www.haodf.com/jibing/danguanai.htm","2015/11/8 18:54:52","0","zhongyizhongliuke","中医肿瘤科","1"
"dannangai","胆囊癌","http://www.haodf.com/jibing/dannangai.htm","2015/11/8 18:54:52","0","zhongyizhongliuke","中医肿瘤科","1"
"dannangyan","胆囊炎","http://www.haodf.com/jibing/dannangyan.htm","2015/11/8 18:53:58","0","zhongyixiaohuake","中医消化科","0"
"danqinertongxinliwenti","单亲儿童心理问题","http://www.haodf.com/jibing/danqinertongxinliwenti.htm","2015/11/8 18:38:58","0","xinlizixunke","心理咨询科","1"
"danzhifanliuxingweiyan","胆汁反流性胃炎","http://www.haodf.com/jibing/danzhifanliuxingweiyan.htm","2015/11/8 18:38:57","0","xiaohuaneike","消化内科","1"
"danzhiliuxingzhongeryan","胆脂瘤型中耳炎","http://www.haodf.com/jibing/danzhiliuxingzhongeryan.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","0"
"daojie","倒睫","http://www.haodf.com/jibing/daojie.htm","2015/11/8 18:47:36","0","zhengxingwaike","整形科","0"
"dapaoxinggumoyan","大疱性鼓膜炎","http://www.haodf.com/jibing/dapaoxinggumoyan.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","1"
"dasanyang","大三阳","http://www.haodf.com/jibing/dasanyang.htm","2015/11/8 18:05:10","0","ganbingke","肝病科","0"
"dayexingfeiyan","大叶性肺炎","http://www.haodf.com/jibing/dayexingfeiyan.htm","2015/11/8 18:49:31","0","zhongyihuxike","中医呼吸科","1"
"denggere","登革热","http://www.haodf.com/jibing/denggere.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"dianji","电击","http://www.haodf.com/jibing/dianji.htm","2015/11/8 18:47:37","0","zhiyebingke","职业病科","1"
"dichongyindaoyan","滴虫阴道炎","http://www.haodf.com/jibing/dichongyindaoyan.htm","2015/11/8 18:05:08","0","fuke","妇科","1"
"difangxingbanzhenshanghan","地方性斑疹伤寒","http://www.haodf.com/jibing/difangxingbanzhenshanghan.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"dinggan","丁肝","http://www.haodf.com/jibing/dinggan.htm","2015/11/8 18:05:10","0","ganbingke","肝病科","1"
"dingningshuansai","耵聍栓塞","http://www.haodf.com/jibing/dingningshuansai.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","0"
"ditushe","地图舌","http://www.haodf.com/jibing/ditushe.htm","2015/11/8 18:13:55","0","kouqiangke-zhanmo","口腔粘膜科","1"
"dongmailiuxinggunangzhong","动脉瘤性骨囊肿","http://www.haodf.com/jibing/dongmailiuxinggunangzhong.htm","2015/11/8 18:07:49","0","guzhongliuke","骨肿瘤科","1"
"dongwuyuanxingchuanranbing","动物源性传染病","http://www.haodf.com/jibing/dongwuyuanxingchuanranbing.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"duanzhizaizhi","断肢再植","http://www.haodf.com/jibing/duanzhizaizhi.htm","2015/11/8 18:22:37","0","shouwaike","手外科","2"
"duofagusuiliu","多发性骨髓瘤","http://www.haodf.com/jibing/duofagusuiliu.htm","2015/11/8 18:47:40","0","zhongliuneike","肿瘤内科","1"
"duohanzheng","多汗症","http://www.haodf.com/jibing/duohanzheng.htm","2015/11/8 18:41:33","0","xiongwaike","胸外科","0"
"duonangluanchao","多囊卵巢综合征","http://www.haodf.com/jibing/duonangluanchao.htm","2015/11/8 18:49:28","0","zhongyifuchanke","中医妇产科","0"
"duonangshen","多囊肾","http://www.haodf.com/jibing/duonangshen.htm","2015/11/8 18:16:32","0","miniaowaike","泌尿外科","1"
"duorutouduorufangjixing","多乳头多乳房畸形","http://www.haodf.com/jibing/duorutouduorufangjixing.htm","2015/11/8 18:51:23","0","zhongyiruxianwaike","中医乳腺外科","1"
"duoxinghongban","多形红斑","http://www.haodf.com/jibing/duoxinghongban.htm","2015/11/8 18:04:54","0","biantaifanyingke","过敏反应科","1"
"duozhijixing","多指畸形","http://www.haodf.com/jibing/duozhijixing.htm","2015/11/8 18:22:37","0","shouwaike","手外科","1"
"dusheyaoshangzhongdu","毒蛇咬伤中毒","http://www.haodf.com/jibing/dusheyaoshangzhongdu.htm","2015/11/8 18:47:37","0","zhiyebingke","职业病科","1"
"ekouchuang","鹅口疮","http://www.haodf.com/jibing/ekouchuang.htm","2015/11/8 18:13:55","0","kouqiangke-zhanmo","口腔粘膜科","0"
"erbuzhengxing","耳部整形","http://www.haodf.com/jibing/erbuzhengxing.htm","2015/11/8 18:47:36","0","zhengxingwaike","整形科","2"
"erbuzhongliu","耳部肿瘤","http://www.haodf.com/jibing/erbuzhongliu.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"erchafenanzheng","儿茶酚胺症","http://www.haodf.com/jibing/erchafenanzheng.htm","2015/11/8 18:16:32","0","miniaowaike","泌尿外科","1"
"erhougumoxianongzhong","耳后骨膜下脓肿","http://www.haodf.com/jibing/erhougumoxianongzhong.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","1"
"erkuohuanongxingruangumoyan","耳廓化脓性软骨膜炎","http://www.haodf.com/jibing/erkuohuanongxingruangumoyan.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"erkuojianangzhong","耳廓假囊肿","http://www.haodf.com/jibing/erkuojianangzhong.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","1"
"erkuowaishang","耳廓外伤","http://www.haodf.com/jibing/erkuowaishang.htm","2015/11/8 18:10:26","0","jizhenke","急诊科","1"
"erlong","耳聋","http://www.haodf.com/jibing/erlong.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","1"
"erming","耳鸣","http://www.haodf.com/jibing/erming.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","0"
"erqiyashang","耳气压伤","http://www.haodf.com/jibing/erqiyashang.htm","2015/11/8 18:10:26","0","jizhenke","急诊科","1"
"ertongbidouyan","儿童鼻窦炎","http://www.haodf.com/jibing/ertongbidouyan.htm","2015/11/8 18:53:57","0","zhongyiwuguanke","中医五官科","0"
"ertongjiaolvzheng","儿童焦虑症","http://www.haodf.com/jibing/ertongjiaolvzheng.htm","2015/11/8 18:49:32","0","zhongyijingshenke","中医精神科","0"
"ertongyabing","儿童牙病","http://www.haodf.com/jibing/ertongyabing.htm","2015/11/8 18:05:04","0","ertongkouqiangke","儿童口腔科","0"
"erwaishang","耳外伤","http://www.haodf.com/jibing/erwaishang.htm","2015/11/8 18:10:26","0","jizhenke","急诊科","1"
"eryinghua","耳硬化","http://www.haodf.com/jibing/eryinghua.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"eryuanxingnaonongzhong","耳源性脑脓肿","http://www.haodf.com/jibing/eryuanxingnaonongzhong.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"exingrouyazhong","恶性肉芽肿","http://www.haodf.com/jibing/exingrouyazhong.htm","2015/11/8 18:05:02","0","erbihouke","耳鼻喉","1"
"fangchan","房颤","http://www.haodf.com/jibing/fangchan.htm","2015/11/8 18:53:58","0","zhongyixinneike","中医心内科","1"
"fangliao","放疗","http://www.haodf.com/jibing/fangliao.htm","2015/11/8 18:05:04","0","fangliaoke","放疗科","2"
"fangshezhenduan","放射诊断","http://www.haodf.com/jibing/fangshezhenduan.htm","2015/11/8 18:47:34","0","yixueyingxiangke","医学影像科","2"
"fanliuxingshiguanyan","反流性食管炎","http://www.haodf.com/jibing/fanliuxingshiguanyan.htm","2015/11/8 18:53:58","0","zhongyixiaohuake","中医消化科","0"
"fanyingxingguanjieyan","反应性关节炎","http://www.haodf.com/jibing/fanyingxingguanjieyan.htm","2015/11/8 18:04:54","0","biantaifanyingke","过敏反应科","1"
"fazuoxingshuibing","发作性睡病","http://www.haodf.com/jibing/fazuoxingshuibing.htm","2015/11/8 18:07:50","0","huxineike","呼吸科","1"
"feiai","肺癌","http://www.haodf.com/jibing/feiai.htm","2015/11/8 18:54:52","0","zhongyizhongliuke","中医肿瘤科","0"
"feibaozhenshang","肺爆震伤","http://www.haodf.com/jibing/feibaozhenshang.htm","2015/11/8 18:41:33","0","xiongwaike","胸外科","1"
"feibujibing","肺部疾病","http://www.haodf.com/jibing/feibujibing.htm","2015/11/8 18:05:04","0","fangliaoke","放疗科","1"
"feidapao","肺大疱","http://www.haodf.com/jibing/feidapao.htm","2015/11/8 18:41:33","0","xiongwaike","胸外科","1"
"feidian","非典","http://www.haodf.com/jibing/feidian.htm","2015/11/8 18:04:59","0","chuanranke","传染科","1"
"feidongjingmailou","肺动静脉瘘","http://www.haodf.com/jibing/feidongjingmailou.htm","2015/11/8 18:41:33","0","xiongwaike","胸外科","1"
"feihezhiqiguanzhongliu","肺肿瘤","http://www.haodf.com/jibing/feihezhiqiguanzhongliu.htm","2015/11/8 18:47:41","0","zhongliuwaike","肿瘤外科","1"
"feihuozhiqiguanliangxingzhongliu","气管肿瘤","http://www.haodf.com/jibing/feihuozhiqiguanliangxingzhongliu.htm","2015/11/8 18:47:41","0","zhongliuwaike","肿瘤外科","1"
"feijiehe","肺结核","http://www.haodf.com/jibing/feijiehe.htm","2015/11/8 18:49:31","0","zhongyihuxike","中医呼吸科","1"
"feilinbaguanpinghuajiliu","淋巴管肌瘤病","http://www.haodf.com/jibing/feilinbaguanpinghuajiliu.htm","2015/11/8 18:41:33","0","xiongwaike","胸外科","1"
"feilinqunxingniaodaoyan","非淋菌性尿道炎","http://www.haodf.com/jibing/feilinqunxingniaodaoyan.htm","2015/11/8 18:38:58","0","xingbingke","性病科","0"
"feinianzhujunbing","肺念珠菌病","http://www.haodf.com/jibing/feinianzhujunbing.htm","2015/11/8 18:49:31","0","zhongyihuxike","中医呼吸科","1"
"feinongzhong","肺脓肿","http://www.haodf.com/jibing/feinongzhong.htm","2015/11/8 18:07:50","0","huxineike","呼吸科","1"
"feipaodanbaizhichenjizheng","肺泡蛋白质沉积症","http://www.haodf.com/jibing/feipaodanbaizhichenjizheng.htm","2015/11/8 18:49:31","0","zhongyihuxike","中医呼吸科","1"
"feiqianweihua","肺纤维化","http://www.haodf.com/jibing/feiqianweihua.htm","2015/11/8 18:49:31","0","zhongyihuxike","中医呼吸科","1"
"feiqizhixinglengyin","非器质性冷阴","http://www.haodf.com/jibing/feiqizhixinglengyin.htm","2015/11/8 18:38:58","0","xinlizixunke","心理咨询科","1"
"feiqizhixingxingjiaotengtong","非器质性性交疼痛","http://www.haodf.com/jibing/feiqizhixingxingjiaotengtong.htm","2015/11/8 18:38:58","0","xinlizixunke","心理咨询科","1"
"feiqizhixingxinglegaochaozhangai","非器质性性乐高潮障碍","http://www.haodf.com/jibing/feiqizhixingxinglegaochaozhangai.htm","2015/11/8 18:38:58","0","xinlizixunke","心理咨询科","1"
"feiqizhixingxingyujiantui","非器质性性欲减退","http://www.haodf.com/jibing/feiqizhixingxingyujiantui.htm","2015/11/8 18:38:58","0","xinlizixunke","心理咨询科","1"
"feiqizhixingyindaojingluan","非器质性阴道痉挛","http://www.haodf.com/jibing/feiqizhixingyindaojingluan.htm","2015/11/8 18:38:58","0","xinlizixunke","心理咨询科","1"
"feiqizhong","肺气肿","http://www.haodf.com/jibing/feiqizhong.htm","2015/11/8 18:49:31","0","zhongyihuxike","中医呼吸科","1"
"feiqujunbing","肺曲菌病","http://www.haodf.com/jibing/feiqujunbing.htm","2015/11/8 18:49:31","0","zhongyihuxike","中医呼吸科","1"
"feishuansai","肺栓塞","http://www.haodf.com/jibing/feishuansai.htm","2015/11/8 18:10:26","0","jizhenke","急诊科","1"
"feishuizhong","肺水肿","http://www.haodf.com/jibing/feishuizhong.htm","2015/11/8 18:07:50","0","huxineike","呼吸科","1"
